assessment_id,course_id,title,max_score,created_at
1,50,Assessment 1,100,2024-03-24 21:30:00
2,21,Assessment 2,30,2024-04-24 05:51:00
3,38,Assessment 3,30,2024-04-22 20:07:00
4,26,Assessment 4,80,2024-04-07 06:44:00
5,34,Assessment 5,30,2024-04-05 23:03:00
6,45,Assessment 6,80,2024-01-02 09:12:00
7,35,Assessment 7,40,2024-04-13 12:13:00
8,37,Assessment 8,80,2024-01-24 08:44:00
9,38,Assessment 9,25,2024-01-01 07:42:00
10,40,Assessment 10,25,2024-02-26 23:13:00
11,43,Assessment 11,50,2024-04-29 15:18:00
12,15,Assessment 12,20,2024-03-03 15:32:00
13,38,Assessment 13,50,2024-01-12 07:44:00
14,9,Assessment 14,80,2024-04-20 11:28:00
15,26,Assessment 15,20,2024-01-25 01:50:00
16,36,Assessment 16,50,2024-02-17 20:52:00
17,24,Assessment 17,50,2024-01-28 07:13:00
18,42,Assessment 18,40,2024-03-15 10:02:00
19,12,Assessment 19,50,2024-04-11 23:33:00
20,50,Assessment 20,50,2024-03-16 09:06:00
21,48,Assessment 21,50,2024-01-20 22:26:00
22,11,Assessment 22,20,2024-03-07 21:21:00
23,20,Assessment 23,30,2024-02-12 18:26:00
24,5,Assessment 24,80,2024-04-29 17:37:00
25,7,Assessment 25,50,2024-04-15 10:00:00
26,42,Assessment 26,20,2024-03-15 01:54:00
27,7,Assessment 27,80,2024-04-30 22:45:00
28,14,Assessment 28,30,2024-02-28 00:12:00
29,16,Assessment 29,30,2024-04-05 10:19:00
30,34,Assessment 30,25,2024-01-02 13:39:00
31,11,Assessment 31,50,2024-01-06 03:51:00
32,41,Assessment 32,40,2024-02-19 13:57:00
33,20,Assessment 33,20,2024-04-12 10:06:00
34,40,Assessment 34,40,2024-04-24 00:03:00
35,19,Assessment 35,80,2024-02-12 06:32:00
36,34,Assessment 36,50,2024-03-17 20:52:00
37,27,Assessment 37,25,2024-02-14 05:58:00
38,46,Assessment 38,25,2024-04-13 12:13:00
39,34,Assessment 39,20,2024-01-29 13:00:00
40,22,Assessment 40,80,2024-02-29 16:38:00
41,4,Assessment 41,30,2024-02-07 00:47:00
42,16,Assessment 42,40,2024-03-01 01:24:00
43,26,Assessment 43,40,2024-04-05 10:15:00
44,7,Assessment 44,80,2024-03-24 17:55:00
45,16,Assessment 45,30,2024-01-16 18:05:00
46,34,Assessment 46,25,2024-04-14 10:23:00
47,14,Assessment 47,40,2024-04-28 01:12:00
48,49,Assessment 48,20,2024-02-27 15:28:00
49,7,Assessment 49,100,2024-01-10 02:19:00
50,47,Assessment 50,100,2024-02-23 18:03:00
51,29,Assessment 51,25,2024-01-02 14:02:00
52,46,Assessment 52,20,2024-02-19 06:48:00
53,8,Assessment 53,80,2024-02-21 13:27:00
54,3,Assessment 54,50,2024-02-11 18:59:00
55,18,Assessment 55,20,2024-03-19 16:12:00
56,37,Assessment 56,20,2024-02-22 08:24:00
57,14,Assessment 57,20,2024-01-20 13:30:00
58,43,Assessment 58,25,2024-03-25 21:45:00
59,41,Assessment 59,25,2024-03-21 14:44:00
60,14,Assessment 60,20,2024-01-31 14:51:00
61,17,Assessment 61,80,2024-04-09 18:54:00
62,41,Assessment 62,100,2024-01-21 22:42:00
63,10,Assessment 63,100,2024-02-13 23:10:00
64,34,Assessment 64,100,2024-03-18 00:24:00
65,26,Assessment 65,25,2024-04-18 06:56:00
66,4,Assessment 66,20,2024-03-25 15:20:00
67,42,Assessment 67,40,2024-04-29 18:44:00
68,16,Assessment 68,80,2024-03-01 20:53:00
69,35,Assessment 69,100,2024-02-22 23:29:00
70,17,Assessment 70,25,2024-03-17 13:11:00
71,35,Assessment 71,80,2024-03-12 10:25:00
72,44,Assessment 72,20,2024-04-07 02:36:00
73,9,Assessment 73,50,2024-01-28 10:38:00
74,38,Assessment 74,30,2024-03-02 09:10:00
75,11,Assessment 75,30,2024-04-14 03:51:00
76,27,Assessment 76,30,2024-04-07 23:15:00
77,31,Assessment 77,100,2024-03-06 17:58:00
78,19,Assessment 78,80,2024-01-15 10:38:00
79,41,Assessment 79,40,2024-03-29 09:22:00
80,43,Assessment 80,20,2024-01-24 15:48:00
81,30,Assessment 81,80,2024-01-08 22:08:00
82,33,Assessment 82,100,2024-03-16 22:17:00
83,50,Assessment 83,50,2024-01-03 18:24:00
84,32,Assessment 84,80,2024-02-05 17:23:00
85,36,Assessment 85,100,2024-02-25 22:08:00
86,46,Assessment 86,50,2024-04-24 13:53:00
87,4,Assessment 87,50,2024-02-25 11:16:00
88,29,Assessment 88,30,2024-01-11 10:30:00
89,47,Assessment 89,25,2024-04-15 09:32:00
90,4,Assessment 90,25,2024-03-09 02:21:00
91,11,Assessment 91,50,2024-04-09 08:04:00
92,34,Assessment 92,50,2024-01-10 10:19:00
93,8,Assessment 93,25,2024-02-29 01:02:00
94,13,Assessment 94,25,2024-04-14 15:23:00
95,42,Assessment 95,20,2024-02-20 06:42:00
96,31,Assessment 96,20,2024-04-03 13:58:00
97,9,Assessment 97,50,2024-04-21 13:28:00
98,43,Assessment 98,20,2024-04-01 10:50:00
99,47,Assessment 99,20,2024-01-24 11:43:00
100,2,Assessment 100,80,2024-03-24 10:03:00
101,30,Assessment 101,40,2024-04-28 17:20:00
102,1,Assessment 102,40,2024-01-30 09:05:00
103,40,Assessment 103,40,2024-01-22 11:58:00
104,41,Assessment 104,20,2024-02-22 02:24:00
105,45,Assessment 105,80,2024-01-31 06:43:00
106,3,Assessment 106,100,2024-01-29 22:58:00
107,49,Assessment 107,25,2024-02-13 00:37:00
108,48,Assessment 108,50,2024-02-08 07:34:00
109,19,Assessment 109,100,2024-03-12 06:51:00
110,50,Assessment 110,30,2024-03-17 02:20:00
111,28,Assessment 111,30,2024-01-24 21:26:00
112,48,Assessment 112,30,2024-02-09 00:29:00
113,45,Assessment 113,25,2024-01-07 02:46:00
114,27,Assessment 114,100,2024-04-06 13:41:00
115,31,Assessment 115,100,2024-03-23 03:17:00
116,12,Assessment 116,40,2024-04-11 22:39:00
117,33,Assessment 117,50,2024-02-08 12:35:00
118,48,Assessment 118,40,2024-04-19 10:01:00
119,46,Assessment 119,40,2024-04-24 06:11:00
120,32,Assessment 120,50,2024-02-02 13:24:00
121,17,Assessment 121,25,2024-03-10 05:47:00
122,30,Assessment 122,30,2024-04-16 09:20:00
123,16,Assessment 123,50,2024-02-25 15:00:00
124,12,Assessment 124,20,2024-04-14 20:24:00
125,28,Assessment 125,25,2024-03-09 22:13:00
126,41,Assessment 126,50,2024-04-03 06:55:00
127,41,Assessment 127,80,2024-01-02 14:43:00
128,44,Assessment 128,20,2024-03-31 13:45:00
129,14,Assessment 129,20,2024-03-28 22:20:00
130,14,Assessment 130,50,2024-03-29 21:58:00
131,30,Assessment 131,30,2024-03-02 12:17:00
132,41,Assessment 132,20,2024-03-30 22:57:00
133,25,Assessment 133,25,2024-02-26 14:04:00
134,33,Assessment 134,80,2024-04-11 05:54:00
135,6,Assessment 135,25,2024-04-22 03:15:00
136,43,Assessment 136,25,2024-02-22 08:19:00
137,17,Assessment 137,30,2024-02-02 15:39:00
138,48,Assessment 138,25,2024-02-19 22:33:00
139,39,Assessment 139,50,2024-03-08 14:44:00
140,6,Assessment 140,25,2024-02-16 07:02:00
141,33,Assessment 141,50,2024-02-29 13:46:00
142,11,Assessment 142,40,2024-02-14 02:55:00
143,7,Assessment 143,100,2024-04-27 12:48:00
144,27,Assessment 144,40,2024-02-18 11:18:00
145,25,Assessment 145,20,2024-04-11 16:09:00
146,27,Assessment 146,40,2024-03-22 05:13:00
147,8,Assessment 147,50,2024-04-01 00:31:00
148,18,Assessment 148,20,2024-03-08 09:47:00
149,32,Assessment 149,100,2024-03-28 03:23:00
150,14,Assessment 150,20,2024-04-01 12:57:00
151,36,Assessment 151,30,2024-01-14 19:16:00
152,21,Assessment 152,50,2024-02-17 04:29:00
153,29,Assessment 153,20,2024-04-21 13:29:00
154,47,Assessment 154,30,2024-01-03 16:00:00
155,23,Assessment 155,50,2024-01-19 14:15:00
156,20,Assessment 156,50,2024-03-16 17:31:00
157,30,Assessment 157,20,2024-01-10 10:02:00
158,23,Assessment 158,100,2024-01-07 06:26:00
159,40,Assessment 159,80,2024-04-13 00:59:00
160,49,Assessment 160,100,2024-03-17 14:18:00
161,8,Assessment 161,30,2024-02-05 15:56:00
162,35,Assessment 162,40,2024-03-23 15:17:00
163,43,Assessment 163,100,2024-03-06 11:05:00
164,34,Assessment 164,30,2024-04-29 15:33:00
165,40,Assessment 165,20,2024-01-05 02:32:00
166,24,Assessment 166,40,2024-01-16 10:03:00
167,26,Assessment 167,80,2024-04-02 15:35:00
168,47,Assessment 168,100,2024-04-21 10:37:00
169,43,Assessment 169,25,2024-03-28 20:35:00
170,28,Assessment 170,80,2024-02-06 02:44:00
171,15,Assessment 171,50,2024-01-17 13:19:00
172,16,Assessment 172,50,2024-02-16 13:58:00
173,5,Assessment 173,20,2024-01-17 14:33:00
