enrollment_id,user_id,course_id,enroll_date
1,7528,75,2024-03-28T04:22:18
2,4384,80,2024-01-09T01:15:38
3,1594,18,2024-01-09T22:05:48
4,4146,175,2024-12-24T12:01:50
5,9423,102,2024-08-04T21:52:36
6,6708,132,2024-09-08T07:28:17
7,6998,53,2024-08-25T16:16:58
8,7027,58,2024-08-31T08:35:25
9,2613,112,2024-03-29T19:42:21
10,7400,85,2024-12-18T04:24:21
11,1909,75,2024-02-04T13:19:18
12,6955,58,2024-06-28T14:06:44
13,1791,116,2024-03-17T23:58:29
14,8169,59,2024-04-11T15:59:45
15,2929,162,2024-09-29T08:13:39
16,9281,30,2024-11-26T19:38:21
17,7682,182,2024-03-06T12:55:10
18,5252,68,2024-01-20T08:00:39
19,4128,75,2024-06-04T17:54:58
20,4964,68,2024-08-28T00:12:54
21,5312,154,2024-06-15T13:40:08
22,9358,131,2024-08-21T04:03:57
23,8793,57,2024-04-11T00:50:46
24,2026,165,2024-02-27T23:07:19
25,9777,166,2024-02-04T14:06:40
26,7816,41,2024-05-22T21:15:51
27,988,4,2024-03-07T01:39:36
28,5311,154,2024-08-08T07:05:13
29,1966,39,2024-02-15T13:47:10
30,7317,109,2024-01-06T11:33:37
31,9632,106,2024-10-06T01:40:58
32,869,108,2024-07-23T05:09:45
33,2064,170,2024-06-17T23:58:24
34,1130,11,2024-10-27T08:13:52
35,4379,11,2024-12-23T06:55:09
36,5155,54,2024-12-26T12:14:31
37,6257,166,2024-06-25T04:51:49
38,6452,20,2024-11-17T06:35:53
39,1935,154,2024-09-18T14:30:02
40,1077,128,2024-07-10T21:48:10
41,5201,76,2024-02-16T00:36:54
42,1640,119,2024-03-28T04:20:31
43,9585,14,2024-10-04T02:53:45
44,6386,178,2024-03-19T21:27:07
45,8223,123,2024-03-15T00:00:01
46,7997,25,2024-11-30T17:49:57
47,704,183,2024-11-11T21:33:11
48,9061,179,2024-10-30T17:54:17
49,5481,106,2024-04-13T09:11:25
50,8425,106,2024-04-21T20:00:00
51,7778,103,2024-10-16T21:21:11
52,5363,10,2024-07-10T21:58:51
53,951,14,2024-05-28T09:10:59
54,8251,133,2024-02-20T13:32:44
55,2819,185,2024-06-16T12:05:14
56,3601,22,2024-11-28T13:38:46
57,8494,75,2024-03-21T05:42:25
58,7846,29,2024-08-21T01:10:37
59,2945,135,2024-03-24T17:13:34
60,6256,146,2024-11-16T01:03:54
61,7581,159,2024-04-19T21:26:45
62,8509,171,2024-10-09T05:24:36
63,5265,35,2024-09-19T23:51:20
64,7519,71,2024-03-14T12:59:33
65,8123,94,2024-06-11T11:07:38
66,1179,4,2024-03-11T01:10:08
67,3856,51,2024-06-07T15:43:14
68,8524,94,2024-11-03T18:17:43
69,6038,30,2024-02-26T16:17:09
70,528,94,2024-01-12T04:11:05
71,2060,181,2024-04-22T16:47:39
72,9291,110,2024-04-11T16:08:52
73,212,74,2024-04-01T10:53:06
74,1715,142,2024-08-27T21:11:49
75,2689,164,2024-06-24T03:24:26
76,3267,87,2024-12-18T08:54:43
77,5150,140,2024-04-06T10:29:28
78,9225,76,2024-05-23T13:16:24
79,1333,162,2024-08-14T09:03:01
80,6821,26,2024-09-22T17:49:53
81,5892,134,2024-09-08T08:40:21
82,4687,101,2024-06-26T22:23:56
83,4092,115,2024-02-03T07:08:32
84,444,181,2024-01-05T00:11:29
85,9691,143,2024-07-01T02:17:36
86,927,106,2024-02-21T17:33:35
87,6247,103,2024-12-04T10:26:30
88,623,147,2024-05-05T12:52:15
