activity_id,user_id,lesson_id,activity_type,activity_time
1,3376,1752,view,2024-10-30T23:49:02
2,6521,186,view,2024-05-23T11:44:47
3,1597,1146,view,2024-03-26T02:51:49
4,151,932,complete,2024-04-06T18:50:20
5,829,1916,view,2024-06-06T00:32:00
6,7871,1400,view,2024-11-25T17:12:59
7,8467,1869,complete,2024-08-13T20:57:02
8,9420,183,complete,2024-09-28T01:32:39
9,9444,1394,view,2024-05-24T00:45:35
10,8011,283,view,2024-03-02T20:21:16
11,8449,266,view,2024-04-22T01:25:16
12,681,233,view,2024-12-07T01:00:57
13,8074,791,view,2024-06-20T11:22:16
14,6480,949,view,2024-10-28T22:24:10
15,9835,1137,view,2024-04-15T03:59:29
16,3112,935,view,2024-12-24T18:28:36
17,2983,1852,view,2024-10-23T23:22:16
18,5076,268,complete,2024-06-01T22:32:39
19,9992,1810,view,2024-06-17T15:59:24
20,6474,622,view,2024-10-06T11:53:46
21,243,1875,complete,2024-05-03T09:55:52
22,5055,870,view,2024-09-16T00:10:34
23,480,1410,complete,2024-03-31T14:44:55
24,5215,1321,complete,2024-05-11T06:59:01
25,5031,196,view,2024-03-21T22:13:36
26,8966,1912,view,2024-08-05T22:41:52
27,8401,1577,view,2024-08-13T11:12:48
28,9738,1248,view,2024-09-28T08:44:54
29,8149,19,view,2024-09-24T17:40:17
30,2626,1714,complete,2024-09-28T17:46:02
31,481,865,view,2024-12-25T14:19:27
32,7692,1496,view,2024-06-07T08:14:44
33,1549,106,view,2024-02-19T10:21:08
34,9196,793,complete,2024-10-22T21:19:23
35,1959,301,view,2024-09-03T03:21:15
36,1638,501,view,2024-12-08T00:40:57
37,3757,573,view,2024-10-24T10:26:52
38,2261,424,view,2024-08-11T22:10:40
39,1193,254,complete,2024-08-02T03:49:59
40,9424,362,complete,2024-12-10T22:52:14
41,2018,1857,complete,2024-05-11T16:29:27
42,7043,1915,complete,2024-10-17T11:17:03
43,521,631,view,2024-04-07T00:41:34
44,5036,1311,complete,2024-02-29T20:16:42
45,8211,708,complete,2024-04-22T11:36:15
46,9702,1374,view,2024-03-19T15:53:02
47,4626,1612,complete,2024-12-06T18:14:16
48,2285,715,view,2024-12-19T17:06:52
49,2152,404,view,2024-10-01T14:24:29
50,937,1895,view,2024-10-20T04:54:25
51,237,493,complete,2024-05-30T18:49:12
52,3174,1457,view,2024-07-10T19:03:15
53,1972,1746,view,2024-12-24T18:14:37
54,9135,996,view,2024-08-18T01:28:37
55,391,331,view,2024-02-28T12:56:52
56,2809,1922,view,2024-04-25T15:47:33
57,3852,392,view,2024-02-10T02:25:55
58,5081,1289,view,2024-05-11T13:25:23
59,5144,1434,view,2024-07-03T09:39:11
60,3504,954,view,2024-02-01T18:23:45
61,9471,609,view,2024-03-01T20:07:23
62,7666,391,view,2024-09-05T22:07:15
63,630,1438,view,2024-06-26T17:45:41
64,4495,685,view,2024-12-01T07:34:35
65,8348,745,view,2024-09-07T10:32:34
66,5979,650,view,2024-09-28T00:21:36
67,1151,115,view,2024-12-28T17:37:13
68,8469,1985,view,2024-06-11T11:17:00
69,3052,1337,view,2024-03-17T07:39:33
70,7195,1885,view,2024-10-16T07:24:22
71,7087,572,view,2024-08-30T20:11:05
72,7736,1387,view,2024-07-31T10:53:48
73,8175,899,view,2024-12-27T15:36:06
74,8829,46,view,2024-03-28T05:28:31
75,874,672,view,2024-05-05T19:43:37
76,9102,503,complete,2024-04-15T10:07:46
77,21,1759,view,2024-03-23T12:40:00
78,5646,1348,complete,2024-09-13T01:34:28
79,5361,542,view,2024-04-21T07:29:04
80,6251,592,complete,2024-06-08T13:09:35
81,4812,554,view,2024-08-01T00:39:31
82,8732,368,view,2024-05-07T14:03:43
83,8049,147,view,2024-07-13T06:18:25
84,2981,1960,view,2024-10-17T21:57:31
85,5734,244,view,2024-06-15T16:06:58
86,242,1146,view,2024-04-05T16:09:28
87,3054,703,complete,2024-09-16T17:15:23
88,396,415,view,2024-08-12T09:01:51
89,5323,261,complete,2024-01-11T03:35:18
90,4316,1009,view,2024-06-09T09:03:17
91,4515,1515,view,2024-10-31T18:47:38
92,3298,708,view,2024-02-09T07:53:13
93,5334,1335,complete,2024-06-01T17:47:16
94,2407,1730,view,2024-10-10T18:53:18
95,8693,1856,view,2024-07-28T02:15:03
96,3543,1236,view,2024-02-27T03:12:39
97,7948,433,view,2024-04-24T23:14:49
98,8979,62,view,2024-08-07T14:54:18
99,2262,1265,view,2024-07-01T16:20:32
100,2540,833,complete,2024-08-17T05:24:50
101,8414,1490,view,2024-09-05T03:07:26
102,1924,100,view,2024-04-01T19:04:27
103,6413,732,view,2024-08-27T04:42:27
104,1108,1557,view,2024-08-24T06:52:17
105,4839,1928,view,2024-10-19T01:37:15
106,6022,262,view,2024-12-11T09:59:04
107,2092,1963,view,2024-10-21T17:37:08
108,1612,1590,view,2024-07-31T04:37:16
109,5072,914,view,2024-11-01T18:25:36
110,3949,1445,view,2024-09-12T06:13:42
111,8017,207,complete,2024-01-30T23:13:12
112,161,1776,complete,2024-06-10T06:41:43
113,9593,647,view,2024-02-07T08:28:35
114,4404,1704,view,2024-05-17T16:02:10
115,2387,1761,complete,2024-11-30T03:55:14
116,9997,418,view,2024-03-28T05:27:19
117,888,807,view,2024-09-18T16:22:19
118,5770,1988,view,2024-07-13T05:12:18
119,6050,444,view,2024-02-02T08:26:05
120,940,1484,view,2024-02-09T10:06:19
121,3493,83,complete,2024-06-01T21:05:49
122,2152,943,view,2024-12-14T08:03:38
123,8248,528,view,2024-10-30T13:08:51
124,9211,1629,view,2024-07-19T02:39:20
125,9523,947,view,2024-09-11T16:18:01
126,8688,1609,view,2024-03-17T09:41:44
127,1165,995,view,2024-09-26T18:29:50
128,4130,847,view,2024-06-28T09:15:47
129,5476,1671,view,2024-02-04T07:48:11
130,8245,262,view,2024-01-12T08:24:53
131,3075,510,view,2024-04-05T02:06:12
132,330,1435,view,2024-01-09T23:30:26
133,7787,1418,complete,2024-07-12T01:20:01
134,1670,1213,view,2024-11-09T04:13:16
135,8341,661,view,2024-03-21T20:44:38
136,3578,1096,view,2024-07-03T01:50:57
137,8325,704,view,2024-02-20T19:07:56
138,2307,1683,view,2024-05-27T09:33:55
139,1300,670,complete,2024-01-23T21:16:27
140,7229,1780,view,2024-07-02T02:58:53
141,7075,1376,view,2024-09-25T09:49:46
142,6291,1222,complete,2024-03-05T11:39:44
143,4938,615,view,2024-10-27T23:40:06
144,825,742,view,2024-11-18T09:04:15
145,5786,697,view,2024-10-27T07:22:04
146,5958,1182,view,2024-01-02T13:54:23
147,4592,684,view,2024-02-07T01:22:04
148,6767,1356,view,2024-04-16T08:39:01
149,4698,895,view,2024-07-27T06:43:45
150,8066,323,view,2024-08-26T06:39:00
151,7729,13,view,2024-06-13T12:21:09
152,1440,658,view,2024-11-12T07:51:36
153,3988,392,view,2024-07-06T04:19:08
154,8957,1184,view,2024-08-03T02:37:59
155,5214,1014,complete,2024-12-17T00:21:42
156,2725,772,view,2024-10-03T08:23:32
157,7789,1451,view,2024-01-08T10:00:55
158,3988,1619,view,2024-08-03T21:39:40
159,572,127,view,2024-12-14T01:32:18
160,9809,1490,view,2024-02-24T08:18:58
161,4650,944,view,2024-05-30T03:20:59
162,1687,102,view,2024-10-11T05:56:48
163,8617,754,view,2024-04-16T20:06:13
164,2633,565,view,2024-08-10T20:35:03
165,2587,1336,view,2024-03-21T18:45:37
166,9809,1868,view,2024-02-15T18:12:18
167,9961,781,view,2024-02-21T04:36:14
168,2222,1381,complete,2024-02-17T13:39:11
169,1649,1217,view,2024-04-20T20:49:10
170,763,1715,view,2024-06-03T15:47:24
171,4043,1583,view,2024-10-31T09:07:11
172,1193,18,view,2024-03-17T07:08:00
173,4681,1891,view,2024-08-17T23:16:06
174,782,91,view,2024-10-25T08:16:15
175,2027,1589,view,2024-04-25T16:09:54
176,2627,435,complete,2024-10-31T02:03:47
177,3994,1062,complete,2024-10-27T07:18:49
178,6915,1880,view,2024-06-20T15:56:22
179,8622,1907,view,2024-06-03T03:00:31
180,953,1170,view,2024-03-12T10:28:40
181,7904,187,complete,2024-05-05T13:30:42
182,9390,100,view,2024-09-06T12:00:52
183,7950,713,complete,2024-04-17T22:52:44
184,2696,360,view,2024-11-21T13:47:20
185,3512,383,view,2024-02-25T23:34:25
186,3970,1857,view,2024-10-17T18:03:57
187,4468,1860,view,2024-08-12T12:46:22
188,287,1569,complete,2024-11-18T20:43:17
189,3163,411,view,2024-09-02T18:26:47
190,9425,642,view,2024-03-04T20:45:51
191,2595,1733,view,2024-05-30T22:01:06
192,5694,43,view,2024-11-23T04:11:03
193,9134,1087,complete,2024-09-29T20:03:57
194,6296,693,view,2024-04-25T03:55:55
195,4673,179,view,2024-05-13T18:43:04
196,9050,1235,view,2024-10-18T12:35:22
197,9779,614,complete,2024-06-06T11:09:22
198,6764,1707,view,2024-03-20T15:48:31
199,856,250,view,2024-12-22T04:33:39
200,5921,1935,view,2024-11-12T21:09:21
201,9408,730,view,2024-03-15T06:37:30
202,7578,242,view,2024-08-20T04:20:47
203,7525,790,view,2024-02-12T06:52:46
204,9895,659,complete,2024-06-27T15:35:57
205,6202,1275,view,2024-02-23T20:43:39
206,4582,260,view,2024-10-17T12:20:33
207,1141,20,view,2024-12-27T11:11:51
